ID,AdmArea,Month,Year,TotalAmount,Suppliers,global_id,Unnamed: 7
1,Центральный административный округ,Апрель,2016,1033089057.0,nested data,171671233,
13,Центральный административный округ,Май,2016,1046211200.0,nested data,171671245,
25,Центральный административный округ,Июнь,2016,1035468984.0,nested data,171671257,
37,Центральный административный округ,Июль,2016,1029532179.83,nested data,278939752,
49,Центральный административный округ,Август,2016,1029563915.0,nested data,278939764,
61,Центральный административный округ,Сентябрь,2016,1042438615.0,nested data,282191445,
73,Центральный административный округ,Октябрь,2016,1065523860.0,nested data,282192211,
85,Центральный административный округ,Ноябрь,2016,1072033883.0,nested data,282196211,
97,Центральный административный округ,Декабрь,2016,1083268627.0,nested data,284597913,
109,Центральный административный округ,Январь,2017,1103915545.5,nested data,612938960,
121,Центральный административный округ,Февраль,2017,1129023935.08,nested data,612943334,
133,Центральный административный округ,Март,2017,1111853811.94,nested data,612947382,
145,Центральный административный округ,Апрель,2017,1115320815.67,nested data,612957874,
157,Центральный административный округ,Май,2017,56222516.13,nested data,613106851,
169,Центральный административный округ,Июнь,2017,1131309445.43,nested data,613114399,
182,Центральный административный округ,Июль,2017,1197215543.72,nested data,885810666,
326,Центральный административный округ,Июль,2018,1231668213.78,nested data,885811216,
314,Центральный административный округ,Июнь,2018,1230541429.98,nested data,885813176,
302,Центральный административный округ,Май,2018,1247099349.01,nested data,885813824,
278,Центральный административный округ,Март,2018,1238932233.52,nested data,885817024,
290,Центральный административный округ,Февраль,2018,1247523024.93,nested data,885817661,
266,Центральный административный округ,Январь,2018,1255932407.09,nested data,885818212,
338,Центральный административный округ,Февраль,2019,1318968869.0,nested data,915889876,
350,Центральный административный округ,Сентябрь,2017,1212037226.66,nested data,918727981,
362,Центральный административный округ,Ноябрь,2018,1249987014.8,nested data,919119829,
374,Центральный административный округ,Октябрь,2018,1236657418.57,nested data,919120896,
386,Центральный административный округ,Сентябрь,2018,1221825452.9,nested data,919122314,
398,Центральный административный округ,Декабрь,2018,1250072335.0,nested data,920164354,
410,Центральный административный округ,Ноябрь,2017,1248661932.0,nested data,920170766,
422,Центральный административный округ,Октябрь,2017,1233226017.0,nested data,920180904,
434,Центральный административный округ,Август,2017,1205424733.0,nested data,920181564,
446,Центральный административный округ,Апрель,2018,1242811612.0,nested data,920181845,
458,Центральный административный округ,Декабрь,2017,1258380754.0,nested data,920181901,
470,Центральный административный округ,Август,2018,1237711634.0,nested data,920418868,
481,Центральный административный округ,Январь,2019,1282372753.0,nested data,925621173,
493,Центральный административный округ,Апрель,2019,1376249632.96,nested data,925697446,
505,Центральный административный округ,Март,2019,1300946634.0,nested data,925702684,
518,Центральный административный округ,Май,2019,1320926822.0,nested data,930605120,
530,Центральный административный округ,Июль,2019,1294459975.0,nested data,1006305717,
542,Центральный административный округ,Июнь,2019,1310177657.0,nested data,1006475393,
554,Центральный административный округ,Август,2019,1289896855.0,nested data,1023571758,
566,Центральный административный округ,Сентябрь,2019,130597783.0,nested data,1023596582,
578,Центральный административный округ,Октябрь,2019,1322195308.0,nested data,1023597034,
590,Центральный административный округ,Ноябрь,2019,1338087340.0,nested data,1023598321,
602,Центральный административный округ,Декабрь,2019,1346013423.63,nested data,1146138315,
614,Центральный административный округ,Январь,2020,1387503641.27,nested data,1146138450,
626,Центральный административный округ,Февраль,2020,1342359782.32,nested data,1146138528,
638,Центральный административный округ,Март,2020,1354303732.14,nested data,1146138647,
650,Центральный административный округ,Апрель,2020,1128903692.78,nested data,1146138768,
662,Центральный административный округ,Май,2020,1128787326.7,nested data,1146139521,
674,Центральный административный округ,Июнь,2020,1112187632.66,nested data,1146140400,
